8.5740 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B933BC5C70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B933BC5C10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B933BC5940>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B934C890A0>, multiSample=False, name='window1', numSamples=2, pos=(320, 180), screen=0, size=array([1280,  720]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5741 	EXP 	window1: mouseVisible = True
8.5742 	EXP 	window1: backgroundImage = ''
8.5742 	EXP 	window1: backgroundFit = 'none'
8.5742 	EXP 	window1: mouseVisible = True
8.5742 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.5742 	EXP 	window1: recordFrameIntervals = False
8.7413 	EXP 	window1: recordFrameIntervals = True
8.9250 	EXP 	Screen (0) actual frame rate measured at 60.01Hz
8.9251 	EXP 	window1: recordFrameIntervals = False
8.9638 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
10.3417 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
10.3467 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
10.3481 	EXP 	Created sequence: random, trialTypes=1, nReps=200, seed=None
10.3487 	EXP 	New trial (rep=0, index=0): None
10.3560 	EXP 	grating: ori = -1.0
10.3560 	EXP 	Fixation: autoDraw = True
11.3720 	EXP 	Fixation: autoDraw = False
11.3720 	EXP 	grating: autoDraw = True
11.3720 	EXP 	grating: tex = 'sin'
11.6734 	EXP 	grating: autoDraw = False
11.7970 	EXP 	New trial (rep=1, index=0): None
11.7986 	DATA 	Keypress: up
11.8058 	EXP 	Fixation: autoDraw = False
11.8058 	EXP 	grating: autoDraw = False
11.8058 	EXP 	grating: ori = 0.0
11.8058 	EXP 	Fixation: autoDraw = True
12.8065 	EXP 	Fixation: autoDraw = False
12.8065 	EXP 	grating: autoDraw = True
13.1063 	EXP 	grating: autoDraw = False
13.4624 	EXP 	New trial (rep=2, index=0): None
13.4644 	DATA 	Keypress: up
13.4723 	EXP 	Fixation: autoDraw = False
13.4723 	EXP 	grating: autoDraw = False
13.4723 	EXP 	grating: ori = 0.0
13.4723 	EXP 	Fixation: autoDraw = True
14.4727 	EXP 	Fixation: autoDraw = False
14.4727 	EXP 	grating: autoDraw = True
14.7882 	EXP 	grating: autoDraw = False
15.7123 	EXP 	New trial (rep=3, index=0): None
15.7147 	DATA 	Keypress: up
15.7218 	EXP 	Fixation: autoDraw = False
15.7218 	EXP 	grating: autoDraw = False
15.7218 	EXP 	grating: ori = -4.0
15.7218 	EXP 	Fixation: autoDraw = True
16.7218 	EXP 	Fixation: autoDraw = False
16.7218 	EXP 	grating: autoDraw = True
17.0217 	EXP 	grating: autoDraw = False
17.3610 	EXP 	New trial (rep=4, index=0): None
17.3624 	DATA 	Keypress: down
17.3707 	EXP 	Fixation: autoDraw = False
17.3707 	EXP 	grating: autoDraw = False
17.3707 	EXP 	grating: ori = 0.0
17.3707 	EXP 	Fixation: autoDraw = True
18.3712 	EXP 	Fixation: autoDraw = False
18.3712 	EXP 	grating: autoDraw = True
18.6711 	EXP 	grating: autoDraw = False
18.8773 	EXP 	New trial (rep=5, index=0): None
18.8788 	DATA 	Keypress: up
18.8869 	EXP 	Fixation: autoDraw = False
18.8869 	EXP 	grating: autoDraw = False
18.8869 	EXP 	grating: ori = 0.0
18.8869 	EXP 	Fixation: autoDraw = True
19.8872 	EXP 	Fixation: autoDraw = False
19.8872 	EXP 	grating: autoDraw = True
20.1872 	EXP 	grating: autoDraw = False
20.6104 	EXP 	New trial (rep=6, index=0): None
20.6126 	DATA 	Keypress: down
20.6199 	EXP 	Fixation: autoDraw = False
20.6199 	EXP 	grating: autoDraw = False
20.6199 	EXP 	grating: ori = 1.0
20.6199 	EXP 	Fixation: autoDraw = True
21.6202 	EXP 	Fixation: autoDraw = False
21.6202 	EXP 	grating: autoDraw = True
21.9201 	EXP 	grating: autoDraw = False
22.1436 	EXP 	New trial (rep=7, index=0): None
22.1449 	DATA 	Keypress: up
22.1528 	EXP 	Fixation: autoDraw = False
22.1528 	EXP 	grating: autoDraw = False
22.1528 	EXP 	grating: ori = 0.0
22.1528 	EXP 	Fixation: autoDraw = True
23.1531 	EXP 	Fixation: autoDraw = False
23.1531 	EXP 	grating: autoDraw = True
23.4531 	EXP 	grating: autoDraw = False
23.5761 	EXP 	New trial (rep=8, index=0): None
23.5776 	DATA 	Keypress: up
23.5853 	EXP 	Fixation: autoDraw = False
23.5853 	EXP 	grating: autoDraw = False
23.5853 	EXP 	grating: ori = 3.0
23.5853 	EXP 	Fixation: autoDraw = True
24.5858 	EXP 	Fixation: autoDraw = False
24.5858 	EXP 	grating: autoDraw = True
24.8856 	EXP 	grating: autoDraw = False
25.1922 	EXP 	New trial (rep=9, index=0): None
25.1935 	DATA 	Keypress: down
25.2021 	EXP 	Fixation: autoDraw = False
25.2021 	EXP 	grating: autoDraw = False
25.2021 	EXP 	grating: ori = 0.0
25.2021 	EXP 	Fixation: autoDraw = True
26.2020 	EXP 	Fixation: autoDraw = False
26.2020 	EXP 	grating: autoDraw = True
26.5172 	EXP 	grating: autoDraw = False
26.8916 	EXP 	New trial (rep=10, index=0): None
26.8933 	DATA 	Keypress: up
26.9008 	EXP 	Fixation: autoDraw = False
26.9008 	EXP 	grating: autoDraw = False
26.9008 	EXP 	grating: ori = -5.0
26.9008 	EXP 	Fixation: autoDraw = True
27.9013 	EXP 	Fixation: autoDraw = False
27.9013 	EXP 	grating: autoDraw = True
28.2011 	EXP 	grating: autoDraw = False
28.6069 	EXP 	New trial (rep=11, index=0): None
28.6089 	DATA 	Keypress: down
28.6175 	EXP 	Fixation: autoDraw = False
28.6175 	EXP 	grating: autoDraw = False
28.6175 	EXP 	grating: ori = -5.0
28.6175 	EXP 	Fixation: autoDraw = True
29.6178 	EXP 	Fixation: autoDraw = False
29.6178 	EXP 	grating: autoDraw = True
29.9171 	EXP 	grating: autoDraw = False
30.3749 	EXP 	New trial (rep=12, index=0): None
30.3763 	DATA 	Keypress: down
30.3830 	EXP 	Fixation: autoDraw = False
30.3830 	EXP 	grating: autoDraw = False
30.3830 	EXP 	grating: ori = 0.0
30.3830 	EXP 	Fixation: autoDraw = True
31.3834 	EXP 	Fixation: autoDraw = False
31.3834 	EXP 	grating: autoDraw = True
31.6835 	EXP 	grating: autoDraw = False
32.1522 	DATA 	Keypress: up
32.1735 	EXP 	New trial (rep=13, index=0): None
32.1825 	EXP 	Fixation: autoDraw = False
32.1825 	EXP 	grating: autoDraw = False
32.1825 	EXP 	grating: ori = 0.0
32.1825 	EXP 	Fixation: autoDraw = True
33.1830 	EXP 	Fixation: autoDraw = False
33.1830 	EXP 	grating: autoDraw = True
33.4829 	EXP 	grating: autoDraw = False
33.9698 	EXP 	New trial (rep=14, index=0): None
33.9711 	DATA 	Keypress: up
33.9818 	EXP 	Fixation: autoDraw = False
33.9818 	EXP 	grating: autoDraw = False
33.9818 	EXP 	grating: ori = -5.0
33.9818 	EXP 	Fixation: autoDraw = True
34.9823 	EXP 	Fixation: autoDraw = False
34.9823 	EXP 	grating: autoDraw = True
35.2821 	EXP 	grating: autoDraw = False
35.5050 	EXP 	New trial (rep=15, index=0): None
35.5065 	DATA 	Keypress: down
35.5144 	EXP 	Fixation: autoDraw = False
35.5144 	EXP 	grating: autoDraw = False
35.5144 	EXP 	grating: ori = 0.0
35.5144 	EXP 	Fixation: autoDraw = True
36.5154 	EXP 	Fixation: autoDraw = False
36.5154 	EXP 	grating: autoDraw = True
36.8150 	EXP 	grating: autoDraw = False
37.4005 	DATA 	Keypress: up
37.4210 	EXP 	New trial (rep=16, index=0): None
